# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.entities.ms,1717447615295000000,1717447675279000000,0
workspaceModel.global.updates.count,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1717447615295000000,1717447675279000000,16
workspaceModel.global.updates.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1717447615295000000,1717447675279000000,0
workspaceModel.load.cache.from.file.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1717447615295000000,1717447675279000000,0
jps.storage.jps.conf.reader.load.component.ms,1717447615295000000,1717447675279000000,0
workspaceModel.global.apply.state.to.project.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleBridge.before.changed.ms,1717447615295000000,1717447675279000000,0
workspaceModel.do.save.caches.ms,1717447615295000000,1717447675279000000,61
jps.global.initialize.library.bridges.ms,1717447615295000000,1717447675279000000,0
jps.library.entities.serializer.save.entities.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1717447615295000000,1717447675279000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1717447615295000000,1717447675279000000,0
jps.artifact.entities.serializer.load.entities.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1717447615295000000,1717447675279000000,0
